Ruhlen Glyph	PHOIBLE Glyph	General Class	V-V.	V-H.	V-C.	C-P.	C-M.	C-S.	Phon.	Init.	Pri.	2nd	Pros.	Tone.	Notes	N-Phoible	N-Ruhlen
!ʰ	kǃʰ	c				a	clk	poa	vl	vi	none	none	none	none		0	36
ǁ		c				a	clk	s	vl	vi	none	l	none	none		0	43
ǁˀ		c				a	clk	pog	vl	vi	none	l	none	none		0	29
ǁʰ		c				a	clk	poa	vl	vi	none	l	none	none		0	38
ǁʱ		c				a	clk	poa	vd	vi	none	l	none	none		0	3
ǁˀʰ		c				a	clk	poag	vl	vi	none	l	none	none		0	2
ǁkˣˀ		c				a	clk	pog	vl	vi	none	l	none	none		0	1
ǁˣ		c				a	clk	c	vl	vi	none	l	none	none		0	26
ǁˣˀ		c				a	clk	pog	vl	vi	none	l	none	none		0	17
ɗ̤		c				a	s	s	vd	gi	none	none	none	none		0	1
dˡ	dl	c				a	s	c	vd	p	none	l	none	none		0	17
dʳ	dr	c				a	s	c	vd	p	none	r	none	none		0	11
ᵈtʰ		c				a	s	poa	pvd	p	none	none	none	none		0	2
ᵈtˢˀ		c				a	af	pog	pvd	p	none	none	none	none		0	2
ᵈtˢʰ		c				a	af	poa	pvd	p	none	none	none	none		0	2
ᵈtˢˣ		c				a	af	c	pvd	p	rzd	v	none	none		0	1
dˣ		c				a	af	c	vd	p	rzd	v	none	none		0	1
dᶻ	dz	c				a	af	c	vd	p	none	none	none	none		0	431
dᶻˀ		c				a	af	pog	vd	p	none	none	none	none		0	1
d̤ᶻ	d̤z	c				a	af	c	b	p	none	none	none	none		0	8
dᶻʱ		c				a	af	poa	vd	p	none	v	none	none		0	2
dᶻˣ		c				a	af	c	vf	p	rzd	v	none	none		0	1
ᵈzˣ		c				a	f	c	pvd	p	rzd	v	none	none		0	1
dᶻᵞ	dzˠ	c				a	af	c	vd	p	none	v	none	none		0	2
dᵞ	dˠ	c				a	s	s	vd	p	none	v	none	none		0	2
G!		c				a	clk	c	vd	vi	none	none	none	none		0	1
ɡ!	ɡǃ	c				a	clk	c	vd	vi	none	none	none	none		0	30
G!ʰ		c				a	clk	poa	vd	vi	none	none	none	none		0	1
ɡ!ˀʰ		c				a	clk	poa, pog	vd	vi	none	none	none	none		0	2
ɡ!kˣˀ		c				a	clk	pog	vd	vi	rzd	v	none	none		0	4
ɡ!n		c				a	clk	pon	vd	vi	none	none	none	none		0	9
ɡ!ˣ		c				a	clk	c	vd	vi	rzd	v	none	none		0	4
Gǁ		c				a	clk	c	vd	vi	none	l	none	none		0	1
Gǁʰ		c				a	clk	poa	vd	vi	none	l	none	none		0	1
ɡǁˀʰ		c				a	clk	poa, pog	vd	vi	none	l	none	none		0	2
ɡǁkˣˀ		c				a	clk	pog	vd	vi	none	l	none	none		0	4
ɡǁn		c				a	clk	pon	vd	vi	none	l	none	none		0	14
ɡǁˣ	ɡǁx	c				a	clk	c	vd	vi	none	l	none	none		0	8
ʰtˢ		c				a	af	pra	vl	p	none	none	none	none		0	2
ľ	lˀ	c				a	a	pog	vd	ge	none	none	none	none		0	42
ɬˀ	ɬʼ	c				a	f	pog	vl	ge	none	l	none	none		0	17
ɬ̣		c				a	f	s	vl	p	ret	l	none	none		0	2
l˜		c				a	a	pon	vl	p	nas	none	none	none		0	1
ɬʰ		c				a	f	poa	vl	p	none	l	none	none		0	1
lᵚ	lˠ	c				a	a	c	vd	p	none	v	none	none		0	27
l̥ᵚ		c				a	a	c	vl	p	none	v	none	none		0	1
n˜		c				a	n	pon	vd	p	none	none	none	none		0	1421
n˜̥		c				a	n	pon	vl	p	none	none	none	none		0	79
nǁ	ŋǁ	c				a	clk	prn	vl	vi	none	l	none	none		0	38
n̥ǁ	ŋ̥ǁ	c				a	clk	prn	vl	vi	none	l	none	none		0	2
nǁʰ		c				a	clk	prn	vl	vi	none	l	none	none		0	1
nǁʱ		c				a	clk	prn	vl	vi	none	l	none	none		0	3
nǁˀʰ		c				a	clk	prn	vl	vi	none	l	none	none		0	2
n̥ǁʰ		c				a	clk	prn	vl	vi	none	l	none	none		0	3
nǁn		c				a	clk	prn	vl	vi	none	l	none	none		0	2
