*Version 1.0 of the SI datasets 1-3 - created by SR and NC, January 6, 2015

The columns give the following information, as indicated by the header row label:
(1) Column: column number in SI dataset 1
(2) Phoneme: phoneme presented in Unicode
(3) Number_of_occurrences: frequency with which the phoneme is observed across 2082 languages in SI dataset 1
(4) Consonant: a boolean indicator; 1 indicates the phoneme in column (2) is a consonant
(5) Vowel: a boolean indicator; 1 indicates the phoneme in column (2) is a vowel
(6) Modified_consonant: 1 indicates the phoneme in column (2) is a modified consonant
(7) Modified_Vowel: 1 indicates the phoneme in column (2) is a modified consonants
(8) Click: 1 indicates the phoneme in column (2) is a click

Columns 6-8 in SI dataset 2 were used for some regression analyses (See SI Appendix section 3.2 and Table S8 for more information). See SI Appendix section 1.2 ``Modified consonants and modified vowels'' for more details about columns 6 and 7.


Column	Phoneme	Number_of_occurrences	Consonant	Vowel	Modified_consonant	Modified_Vowel	Click
10	tˡ̥	1	1	0	0	0	0
11	tːˡ	3	1	0	0	0	0
12	bͮ	14	1	0	0	0	0
13	ᶡčʰ	1	1	0	0	0	0
14	kˡ	1	1	0	0	0	0
15	dᵞ	1	1	0	0	0	0
16	čʰʷ	1	1	0	0	0	0
17	ɡ́	0	1	0	0	0	0
18	tᶿ	5	1	0	0	0	0
19	ɡ̰̌	1	1	0	0	0	0
20	tˣˀ	1	1	0	0	0	0
21	ɡ̌	601	1	0	0	0	0
22	cʹˀ	0	1	0	0	0	0
23	ⁿ̃čʰ	1	1	0	0	0	0
24	ɟ́	2	1	0	0	0	0
25	kˡˀ	1	1	0	0	0	0
26	ɡ̌ː	1	1	0	0	0	0
27	tᴮ	1	1	0	0	0	0
28	tˢʱ	1	1	0	0	0	0
29	č̣	26	1	0	0	0	0
30	pˢ̌ˀ	2	1	0	0	0	0
31	ṭˢˀ	5	1	0	0	0	0
32	č̣ˀ	7	1	0	0	0	0
33	čʷ	1	1	0	0	0	0
34	tˢˀʷ	1	1	0	0	0	0
35	ḍʳ	2	1	0	0	0	0
36	bɡ̌	0	1	0	0	0	0
37	ⁿ̃ɡ̣̌	1	1	0	0	0	0
38	ɡ̤̌	36	1	0	0	0	0
39	ᶡčˀ	1	1	0	0	0	0
40	čʰ	159	1	0	0	0	0
41	ͫpˀ	1	1	0	0	0	0
42	ṭʳ	3	1	0	0	0	0
43	qːᵡ	4	1	0	0	0	0
44	dʳ	3	1	0	0	0	0
45	qᵡʰ	2	1	0	0	0	0
46	qᵡˀ	16	1	0	0	0	0
47	č	969	1	0	0	0	0
48	ᵈtˢʰ	2	1	0	0	0	0
49	tˡ̥ʰ	1	1	0	0	0	0
50	pˡʰ	5	1	0	0	0	0
51	qᵡ	17	1	0	0	0	0
52	dˡ	16	1	0	0	0	0
53	ʰtˢ	2	1	0	0	0	0
54	dᶻˀ	1	1	0	0	0	0
55	ⁿtˡˀ	1	1	0	0	0	0
56	qᵡʷ	1	1	0	0	0	0
57	qᵡˀʷ	1	1	0	0	0	0
58	pᶲ	2	1	0	0	0	0
59	bᶻ̌	2	1	0	0	0	0
60	tˢʰ	110	1	0	0	0	0
61	ṭˢ	24	1	0	0	0	0
62	tˡˀ	71	1	0	0	0	0
63	dᶻᵞ	1	1	0	0	0	0
64	ɡ̣̌	4	1	0	0	0	0
65	dᵝ	1	1	0	0	0	0
66	ⁿtˢʰ	1	1	0	0	0	0
67	ͫbͮ	2	1	0	0	0	0
68	tːˡˀ	2	1	0	0	0	0
69	ḍᶻ	6	1	0	0	0	0
70	ˀbˡ	2	1	0	0	0	0
71	ptˢ	0	1	0	0	0	0
72	tˣ	3	1	0	0	0	0
73	č̣ʰ	4	1	0	0	0	0
74	cʹ	4	1	0	0	0	0
75	pᶠʰ	1	1	0	0	0	0
76	ⁿd̪ᶻ	2	1	0	0	0	0
77	bᵝ	1	1	0	0	0	0
78	dᶻ	225	1	0	0	0	0
79	ⁿdˡ	1	1	0	0	0	0
80	čʲ	0	1	0	0	0	0
81	ⁿ̃ɡ̌	44	1	0	0	0	0
82	pˢ̌ʰ	2	1	0	0	0	0
83	tʳ	7	1	0	0	0	0
84	kːˣ	4	1	0	0	0	0
85	ɡ̌ʷ	1	1	0	0	0	0
86	čˀ	185	1	0	0	0	0
87	kːˣˀ	2	1	0	0	0	0
88	ɠ̌	2	1	0	0	0	0
89	ˀɡ̌	2	1	0	0	0	0
90	tˡ	63	1	0	0	0	0
91	qːᵡˀ	3	1	0	0	0	0
92	ᵈčˀ	1	1	0	0	0	0
93	ɡᵞ	1	1	0	0	0	0
94	tˢˀ	188	1	0	0	0	0
95	ⁿdᶻ	13	1	0	0	0	0
96	ᵈtˢˀ	2	1	0	0	0	0
97	čˣ	4	1	0	0	0	0
98	tˢ	558	1	0	0	0	0
99	ṭˢʰ	16	1	0	0	0	0
100	t̪ˀ	1	1	0	0	0	0
101	čː	1	1	0	0	0	0
102	ʰč	2	1	0	0	0	0
103	tᶿʰ	3	1	0	0	0	0
104	tˡʰ	15	1	0	0	0	0
105	ᵈt̪ˀ	1	1	0	0	0	0
106	ͫpᶠˀ	1	1	0	0	0	0
107	tᶿˀ	5	1	0	0	0	0
108	ᵈtˢˣ	1	1	0	0	0	0
109	dᶻʱ	1	1	0	0	0	0
110	pˀ	1	1	0	0	0	0
111	pˡ	6	1	0	0	0	0
112	bdᶻ	0	1	0	0	0	0
113	kˣˀ	18	1	0	0	0	0
114	dᶻˣ	1	1	0	0	0	0
115	d̤ᶻ	7	1	0	0	0	0
116	dᶞ	2	1	0	0	0	0
117	ͫbˡ	1	1	0	0	0	0
118	d̯ᶞ	1	1	0	0	0	0
119	tˢˣ	18	1	0	0	0	0
120	pᶠ	20	1	0	0	0	0
121	pᶠˀ	2	1	0	0	0	0
122	ⁿtˢ	1	1	0	0	0	0
123	kˣ	10	1	0	0	0	0
124	pˢ	2	1	0	0	0	0
125	tᶲʰ	1	1	0	0	0	0
126	pč	0	1	0	0	0	0
127	ɔ̤	3	0	1	0	0	0
128	ɯ	113	0	1	0	0	0
129	ʌ	14	0	1	0	0	0
130	o	1532	0	1	0	0	0
131	ɤ	44	0	1	0	0	0
132	u	1779	0	1	0	0	0
133	o̤	2	0	1	0	0	0
134	ɒ	40	0	1	0	0	0
135	u̱	2	0	1	0	0	0
136	ṳ	4	0	1	0	0	0
137	ɔ	653	0	1	0	0	0
138	ɯ̌	1	0	1	0	0	0
139	ɑ	113	0	1	0	0	0
140	o˂	1	0	1	0	0	0
141	ʊ̤	2	0	1	0	0	0
142	o̰	1	0	1	0	0	0
143	ʊ	279	0	1	0	0	0
144	ɨ̤	2	0	1	0	0	0
145	ɐ	83	0	1	0	0	0
146	ʉ	31	0	1	0	0	0
147	a̤	4	0	1	0	0	0
148	ə	600	0	1	0	0	0
149	ɨ̅	1	0	1	0	0	0
150	ɨ	292	0	1	0	0	0
151	aː	1	0	1	0	0	0
152	ɵ	22	0	1	0	0	0
153	ə̤	1	0	1	0	0	0
154	a	1876	0	1	0	0	0
155	a̰	1	0	1	0	0	0
156	ɡ/n	13	0	0	0	0	1
157	ˀnʘ	1	0	0	0	0	1
158	qʘʰ	1	0	0	0	0	1
159	G!ʰ	1	0	0	0	0	1
160	Gʘʰ	1	0	0	0	0	1
161	nǁ	29	0	0	0	0	1
162	nǂˀʰ	1	0	0	0	0	1
163	ǁˣ	24	0	0	0	0	1
164	ɡ/ˣ	5	0	0	0	0	1
165	/kˣˀ	1	0	0	0	0	1
166	ǁkˣˀ	1	0	0	0	0	1
167	Gʘ	1	0	0	0	0	1
168	nǁˣ	3	0	0	0	0	1
169	ɡ/kˣˀ	3	0	0	0	0	1
170	qǂˀ	1	0	0	0	0	1
171	n!ˀʰ	1	0	0	0	0	1
172	q!ʰ	1	0	0	0	0	1
173	!	29	0	0	0	0	1
174	ǁˣˀ	15	0	0	0	0	1
175	/ʰ	29	0	0	0	0	1
176	nʘ	4	0	0	0	0	1
177	ǂʰ	19	0	0	0	0	1
178	!ʱ	2	0	0	0	0	1
179	ᵑ!	1	0	0	0	0	1
180	/ˀ	28	0	0	0	0	1
181	n/ˣ	3	0	0	0	0	1
182	qǁˀ	1	0	0	0	0	1
183	n!	24	0	0	0	0	1
184	+	0	0	0	0	0	1
185	n!n	2	0	0	0	0	1
186	ǂ	20	0	0	0	0	1
187	/	34	0	0	0	0	1
188	nǂʱ	2	0	0	0	0	1
189	ǂkˣˀ	1	0	0	0	0	1
190	ᵑ/	2	0	0	0	0	1
191	n+	0	0	0	0	0	1
192	n̥ʘ	1	0	0	0	0	1
193	ᵑ!ᶢ	2	0	0	0	0	1
194	q/ˀ	1	0	0	0	0	1
195	n/ˀʰ	1	0	0	0	0	1
196	!ˣ	20	0	0	0	0	1
197	!ˣˀ	14	0	0	0	0	1
198	n/	31	0	0	0	0	1
199	nǂˣ	1	0	0	0	0	1
200	n/ʱ	2	0	0	0	0	1
201	n̥ǂ	1	0	0	0	0	1
202	Gǂ	1	0	0	0	0	1
203	ˀn!	1	0	0	0	0	1
204	ɡǁkˣˀ	3	0	0	0	0	1
205	+kˣˀ	0	0	0	0	0	1
206	ʘkˣˀ	1	0	0	0	0	1
207	n!ʰ	1	0	0	0	0	1
208	!kˣˀ	1	0	0	0	0	1
209	ɡǁˣ	7	0	0	0	0	1
210	ǂʱ	2	0	0	0	0	1
211	ˀnǂ	1	0	0	0	0	1
212	ˀn/	1	0	0	0	0	1
213	qǂʰ	1	0	0	0	0	1
214	n/n	2	0	0	0	0	1
215	qʘ	1	0	0	0	0	1
216	ɡ!kˣˀ	3	0	0	0	0	1
217	nǁˀʰ	1	0	0	0	0	1
218	G/ʰ	1	0	0	0	0	1
219	qǂ	8	0	0	0	0	1
220	ʘˣ	3	0	0	0	0	1
221	ʘʱ	1	0	0	0	0	1
222	G!	1	0	0	0	0	1
223	ɡǂn	7	0	0	0	0	1
224	ɡǂˀʰ	1	0	0	0	0	1
225	ǁˀ	27	0	0	0	0	1
226	qǁ	8	0	0	0	0	1
227	+ˀ	0	0	0	0	0	1
228	ɡʘˣ	1	0	0	0	0	1
229	G/	1	0	0	0	0	1
230	ǁ	33	0	0	0	0	1
231	!ˀʰ	1	0	0	0	0	1
232	n̥!ʰ	2	0	0	0	0	1
233	q/ʰ	1	0	0	0	0	1
234	ǂˀʰ	1	0	0	0	0	1
235	ɡǂ	16	0	0	0	0	1
236	nǁʱ	2	0	0	0	0	1
237	ˀnǁ	1	0	0	0	0	1
238	nǂn	2	0	0	0	0	1
239	ǁʰ	28	0	0	0	0	1
240	/ʱ	2	0	0	0	0	1
241	Gǁ	1	0	0	0	0	1
242	/ˀʰ	1	0	0	0	0	1
243	/ˣ	24	0	0	0	0	1
244	nǁʰ	1	0	0	0	0	1
245	ǂˣ	17	0	0	0	0	1
246	nʘʱ	1	0	0	0	0	1
247	ʘ	5	0	0	0	0	1
248	q!	7	0	0	0	0	1
249	ɡǁ	25	0	0	0	0	1
250	ɡ!ˀʰ	1	0	0	0	0	1
251	n̥ǂʰ	2	0	0	0	0	1
252	n/ʰ	2	0	0	0	0	1
253	nǁn	2	0	0	0	0	1
254	ɡ!ˣ	3	0	0	0	0	1
255	!ˀ	24	0	0	0	0	1
256	ɡʘkˣˀ	1	0	0	0	0	1
257	ᵑ/ᶢ	3	0	0	0	0	1
258	ɡʘ	3	0	0	0	0	1
259	q/	10	0	0	0	0	1
260	n̥ǁ	2	0	0	0	0	1
261	n̥!	2	0	0	0	0	1
262	!ʰ	26	0	0	0	0	1
263	ɡ!	20	0	0	0	0	1
264	q!ˀ	1	0	0	0	0	1
265	ɡ/ˀʰ	1	0	0	0	0	1
266	ǂˣˀ	13	0	0	0	0	1
267	ɡǂˣ	2	0	0	0	0	1
268	ʘˣˀ	1	0	0	0	0	1
269	n!ʱ	2	0	0	0	0	1
270	ɡǁn	13	0	0	0	0	1
271	ɡ!n	8	0	0	0	0	1
272	+ˣ	0	0	0	0	0	1
273	n!ˣ	1	0	0	0	0	1
274	n̥ǁʰ	2	0	0	0	0	1
275	ᵑǁ	1	0	0	0	0	1
276	n̥/	2	0	0	0	0	1
277	qʘˀ	1	0	0	0	0	1
278	ɡ/	27	0	0	0	0	1
279	Gǁʰ	1	0	0	0	0	1
280	nǂ	17	0	0	0	0	1
281	ǁˀʰ	1	0	0	0	0	1
282	ɡǂkˣˀ	3	0	0	0	0	1
283	n̥/ʰ	2	0	0	0	0	1
284	ǂˀ	18	0	0	0	0	1
285	qǁʰ	1	0	0	0	0	1
286	ɡǁˀʰ	1	0	0	0	0	1
287	ᵑǁᶢ	2	0	0	0	0	1
288	/ˣˀ	15	0	0	0	0	1
289	ǁʱ	2	0	0	0	0	1
290	Gǂʰ	1	0	0	0	0	1
291	ʘʰ	3	0	0	0	0	1
292	ʘˀ	3	0	0	0	0	1
293	ð	112	1	0	0	0	0
294	vʷ	2	1	0	0	0	0
295	ɣʷ	11	1	0	0	0	0
296	z̥̣	1	1	0	0	0	0
297	ħ	53	1	0	0	0	0
298	v̤	2	1	0	0	0	0
299	xˀ	4	1	0	0	0	0
300	sʰ	18	1	0	0	0	0
301	šːˀ	3	1	0	0	0	0
302	šʲ	2	1	0	0	0	0
303	ɣ	328	1	0	0	0	0
304	ɸˢ	1	1	0	0	0	0
305	ʕ	60	1	0	0	0	0
306	sˀ	21	1	0	0	0	0
307	ʮː	1	1	0	0	0	0
308	ⁿs	0	1	0	0	0	0
309	šʷ	1	1	0	0	0	0
310	ˀẓ	1	1	0	0	0	0
311	ᵈžʰ	1	1	0	0	0	0
312	ⁿz	12	1	0	0	0	0
313	sʷ	3	1	0	0	0	0
314	ˀɣ	1	1	0	0	0	0
315	βʲ	1	1	0	0	0	0
316	ʯˀ	2	1	0	0	0	0
317	ˀh	1	1	0	0	0	0
318	hᵚ	1	1	0	0	0	0
319	s̪	7	1	0	0	0	0
320	ʯʷ	32	1	0	0	0	0
321	š	778	1	0	0	0	0
322	fs	0	1	0	0	0	0
323	ˀv	1	1	0	0	0	0
324	ç	30	1	0	0	0	0
325	ˀz	0	1	0	0	0	0
326	sʲ	3	1	0	0	0	0
327	ʕʷ	5	1	0	0	0	0
328	s̪ːˀ	3	1	0	0	0	0
329	ⁿ̃ž	4	1	0	0	0	0
330	ͫv	3	1	0	0	0	0
331	zˀ	1	1	0	0	0	0
332	ɸˀ	1	1	0	0	0	0
333	fʷ	6	1	0	0	0	0
334	ðʲ	1	1	0	0	0	0
335	ˀð	2	1	0	0	0	0
336	β	203	1	0	0	0	0
337	f	740	1	0	0	0	0
338	h	1248	1	0	0	0	0
339	ṣˀ	3	1	0	0	0	0
340	ʕˀ	4	1	0	0	0	0
341	ɸʷ	2	1	0	0	0	0
342	r	1	1	0	0	0	0
343	s	1767	1	0	0	0	0
344	ʁʷ	3	1	0	0	0	0
345	ʮ	116	1	0	0	0	0
346	ʁ	95	1	0	0	0	0
347	v	596	1	0	0	0	0
348	sʹ	1	1	0	0	0	0
349	xˀʷ	1	1	0	0	0	0
350	x	476	1	0	0	0	0
351	z̪	3	1	0	0	0	0
352	z	597	1	0	0	0	0
353	ʯˀʷ	1	1	0	0	0	0
354	ɦ	44	1	0	0	0	0
355	zʷ	1	1	0	0	0	0
356	šˀ	11	1	0	0	0	0
357	ṣ̌	42	1	0	0	0	0
358	ˀʁʷ	0	1	0	0	0	0
359	ʁˀ	0	1	0	0	0	0
360	z̪ʲ	1	1	0	0	0	0
361	ˀs̪	1	1	0	0	0	0
362	fʰ	2	1	0	0	0	0
363	ṣ	61	1	0	0	0	0
364	ˀʁ	0	1	0	0	0	0
365	ʯ	140	1	0	0	0	0
366	ᵈžˣ	1	1	0	0	0	0
367	h˜	11	1	0	0	0	0
368	ɸʲ	1	1	0	0	0	0
369	ɣ˜	2	1	0	0	0	0
370	fˢ̌	2	1	0	0	0	0
371	z̤	1	1	0	0	0	0
372	hʷ	21	1	0	0	0	0
373	βʷ	3	1	0	0	0	0
