UULID	segments	vowels	monophtongs	diphtongs	triphtongs	heights.v	lengths.v	long.v	nasal.v	round.v	high.v	mid.v	low.v	front.v	back.v	tense.v	lax.v	atr.v	rtr.v	raised.v	retracted.v	fronted.v	glottalized.v	laryngealized.v	unique.v	unique.nasal.v	heights_mono.v	heights_di.v	heights_tri.v	lengths_mono.v	lengths_di.v	lengths_tri.v	long_mono.v	long_di.v	long_tri.v	nasal_mono.v	nasal_di.v	nasal_tri.v	round_mono.v	round_di.v	round_tri.v	high_mono.v	high_di.v	high_tri.v	mid_mono.v	mid_di.v	mid_tri.v	low_mono.v	low_di.v	low_tri.v	front_mono.v	front_di.v	front_tri.v	back_mono.v	back_di.v	back_tri.v	tense_mono.v	tense_di.v	tense_tri.v	lax_mono.v	lax_di.v	lax_tri.v	atr_mono.v	atr_di.v	atr_tri.v	rtr_mono.v	rtr_di.v	rtr_tri.v	raised_mono.v	raised_di.v	raised_tri.v	retracted_mono.v	retracted_di.v	retracted_tri.v	fronted_mono.v	fronted_di.v	fronted_tri.v	glottalized_mono.v	glottalized_di.v	glottalized_tri.v	laryngealized_mono.v	laryngealized_di.v	laryngealized_tri.v	unique_mono.v	unique_di.v	unique_tri.v	unique.nasal_mono.v	unique.nasal_di.v	unique.nasal_tri.v	consonants	places.c	bilabial.c	labiodental.c	double_articulated.c	dental.c	alveolar.c	dental_alveolar.c	palatoalveolar.c	alveolopalatal.c	postalveolar.c	true_retroflex.c	palatal.c	velar.c	uvular.c	pharyngeal_epiglottal.c	glottal.c	labial.c	coronal.c	dorsal.c	guttural.c	manners.c	obstruent.c	voiced_obstruent.c	voiceless_obstruent.c	aspirated_obstruent.c	glottalized_obstruent.c	stop.c	voiced_stop.c	voiceless_stop.c	aspirated_stop.c	glottalized_stop.c	fricative.c	voiced_fricative.c	voiceless_fricative.c	affricate.c	sonorant.c	voiced_sonorant.c	voiceless_sonorant.c	glottalized_resonant.c	nasal.c	approximant.c	tapflap.c	trill.c	trill_tap.c	coronal_trill_tap.c	second_articulation.c	glottalized.c	uvt.c	uvt.stops.c	uvt.fricatives.c	uvt.affricates.c	uvt.nasals.c	uvt.approximants.c	lvt.c	lvt.stops.c	lvt.fricatives.c	lvt.affricates.c	lvt.nasals.c	lvt.approximants.c	ratio.voiced.voiceless.obstruents	ratio.voiced.voiceless.stops	ratio.obstruents.sonorants	egressive	implosive	ejective	click	voiceless	voiced	breathy	creaky	tones	level_tones	contour_tones	bilabial.fricatives	labiodental.fricatives	alveolar.fricatives	nonsibilant.dental.fricatives	sibilant.dental.fricatives	bilabiallabiodental.affricates	bilabial.affricates	retroflex.stops	retroflex.fricatives	retroflex.affricates	retroflex.nasals	retroflex.approximants
[i-aal][w-ktk][a-819][g-afad1236]	36	9	9	0	0	4	1	0	0	3	2	5	2	4	5	5	4	1	0	1	1	4	0	0	8	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	5	0	0	2	0	0	4	0	0	5	0	0	5	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	27	10	4	1	3	1	8	9	1	0	0	0	3	4	0	0	2	7	10	7	2	5	21	7	14	0	6	14	7	7	0	4	5	0	5	2	6	6	0	0	2	4	0	1	1	1	1	6	7	4	3	1	2	3	1	1	1	0	0	0	0.5	1	3.5	30	2	4	0	14	22	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0
[i-aap][w-][a-][g-para1310]	17	6	6	0	0	3	1	0	0	2	3	2	1	3	2	5	1	0	0	1	0	3	0	0	6	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0	0	1	0	0	3	0	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	5	2	0	0	0	4	4	1	0	0	0	1	3	0	0	0	2	5	4	0	4	4	0	4	0	0	3	0	3	0	0	0	0	0	1	7	7	0	0	3	4	1	0	1	1	1	0	5	3	0	1	3	3	0	0	0	0	0	0	0	0	0.571428571428571	17	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[i-aar][w-qaf][a-846][g-afar1241]	27	10	10	0	0	4	2	4	0	4	4	5	1	5	5	8	2	0	0	2	0	5	0	0	6	0	4	0	0	2	0	0	4	0	0	0	0	0	4	0	0	4	0	0	5	0	0	1	0	0	5	0	0	5	0	0	8	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	8	2	1	0	0	6	6	0	0	0	1	1	3	0	2	1	3	7	4	3	4	10	4	6	0	0	6	4	2	0	0	4	0	4	0	7	7	0	0	2	5	0	1	1	1	1	0	6	4	2	0	2	3	2	0	2	0	0	1	0.666666666666667	2	1.42857142857143	27	0	0	0	6	21	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
[i-aau][w-aba][a-820][g-abau1245]	14	5	5	0	0	3	1	0	0	2	2	2	1	2	3	4	1	0	0	1	1	2	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	1	0	0	2	0	0	3	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	5	2	0	0	0	3	3	0	0	0	0	1	2	0	0	1	2	3	3	1	4	4	0	4	0	0	2	0	2	0	0	2	0	2	0	5	5	0	0	2	3	1	0	1	1	1	0	4	2	1	0	2	3	1	0	1	0	0	0	0	0	0.8	14	0	0	0	4	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
[i-abb][w-bnk][a-821][g-bank1256]	33	7	7	0	0	4	1	0	0	3	2	4	1	4	3	4	3	0	0	1	0	4	0	0	7	0	4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	4	0	0	1	0	0	4	0	0	3	0	0	4	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	26	7	6	1	1	0	8	8	2	0	1	0	2	6	0	0	0	8	10	8	0	5	17	9	8	0	1	12	7	5	0	1	2	0	2	3	9	9	0	0	5	4	0	1	1	1	6	1	7	3	2	3	4	3	0	0	0	0	0	0	1.125	1.4	1.88888888888889	36	1	0	0	8	29	0	0	4	2	2	0	1	1	0	0	0	0	0	0	0	0	0
[i-abi][w-abd][a-823][g-abid1235]	36	15	15	0	0	5	1	0	6	8	8	5	2	7	8	7	8	0	0	4	0	7	0	0	8	6	5	0	0	1	0	0	0	0	0	6	0	0	8	0	0	8	0	0	5	0	0	2	0	0	7	0	0	8	0	0	7	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	6	0	0	21	7	3	1	2	0	6	6	0	0	0	0	4	3	0	0	2	6	6	7	2	5	14	5	9	0	0	9	4	5	0	0	3	0	3	2	7	7	0	0	3	4	0	1	1	1	1	0	5	3	2	1	3	3	1	1	1	0	0	0	0.555555555555556	0.8	2	38	0	0	0	9	29	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0
[i-abn][w-][a-][g-abua1244]	37	10	10	0	0	6	1	0	0	4	4	5	1	4	4	5	4	0	0	2	0	4	0	0	10	0	6	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	5	0	0	1	0	0	4	0	0	4	0	0	5	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	27	7	5	2	3	0	9	9	0	0	0	0	2	5	0	0	1	10	9	7	1	4	17	10	7	0	2	10	6	4	0	2	7	4	3	0	10	10	0	0	5	5	1	1	2	2	1	2	5	3	4	0	4	3	1	0	1	0	0	0	1.42857142857143	1.5	1.7	38	2	0	0	7	33	0	0	3	3	0	1	2	2	0	0	0	0	0	0	0	0	0
[i-abs][w-][a-][g-ambo1250]	23	5	5	0	0	3	1	0	0	2	2	2	1	3	2	4	1	0	0	1	0	3	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	1	0	0	3	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	18	5	3	1	0	0	6	6	0	0	0	0	4	4	0	0	0	4	6	8	0	4	10	4	6	0	0	8	4	4	0	0	2	0	2	0	8	8	0	0	4	4	0	1	1	1	1	0	5	4	2	0	4	3	0	0	0	0	0	0	0.666666666666667	1	1.25	23	0	0	0	6	17	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
[i-abt][w-amb][a-6][g-ambu1247]	24	7	7	0	0	3	2	1	0	2	3	2	2	4	2	5	2	0	0	1	0	4	0	0	6	0	3	0	0	2	0	0	1	0	0	0	0	0	2	0	0	3	0	0	2	0	0	2	0	0	4	0	0	2	0	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	5	3	1	0	0	6	6	0	0	0	0	3	4	0	0	0	4	6	7	0	4	9	5	4	0	0	7	4	3	0	0	2	1	1	0	8	8	0	0	4	4	0	1	1	1	1	0	5	4	2	0	4	3	0	0	0	0	0	0	1.25	1.33333333333333	1.125	24	0	0	0	4	20	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
[i-abu][w-][a-][g-abur1243]	34	14	14	0	0	5	1	0	4	6	8	4	2	8	6	6	8	0	0	4	0	8	0	0	9	4	5	0	0	1	0	0	0	0	0	4	0	0	6	0	0	8	0	0	4	0	0	2	0	0	8	0	0	6	0	0	6	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0	0	4	0	0	20	7	3	2	2	0	5	5	0	0	0	0	4	3	0	0	1	7	5	7	1	4	13	5	8	0	0	9	4	5	0	0	4	1	3	0	7	7	0	0	4	3	0	0	0	0	1	0	5	4	2	0	4	3	1	0	1	0	0	0	0.625	0.8	1.85714285714286	36	0	0	0	8	28	0	0	2	2	0	0	2	1	0	0	0	0	0	0	0	0	0
